SequenceLength,PITName,PurificationName,ProcessStep,Duration_In_Mins
24,1,0,1,10
34,1,0,0,427
34,1,0,1,10
40,1,0,0,427
47,1,0,0,427
53,1,0,0,442
53,1,0,1,8
48,1,0,0,427
28,1,0,0,442
31,1,0,0,427
31,1,0,1,10
32,1,0,0,427
32,1,0,1,10
43,1,0,2,41
48,1,0,2,41
34,1,0,2,41
38,1,0,2,41
31,1,0,2,41
39,1,0,2,41
44,1,0,2,41
45,1,0,2,41
41,1,0,2,41
33,1,0,2,41
37,1,0,2,41
47,1,0,2,41
28,1,0,0,427
28,1,0,1,10
29,1,0,0,427
29,1,0,1,10
27,1,0,0,427
27,1,0,1,10
46,1,0,0,427
46,1,0,1,10
26,1,0,0,427
26,1,0,1,10
53,1,0,0,509
53,1,0,1,10
49,1,0,1,10
51,1,0,0,509
51,1,0,1,10
30,1,0,0,509
56,1,0,1,10
59,1,0,0,509
59,1,0,1,10
32,2,0,0,453
39,2,0,0,453
41,2,0,0,453
37,2,0,0,453
27,2,0,0,453
43,2,0,0,453
35,2,0,0,453
46,2,0,0,453
34,2,0,0,453
48,2,0,0,453
26,2,0,0,453
26,2,0,1,8
44,2,0,0,453
28,2,0,0,453
38,2,0,0,453
30,2,0,0,453
42,2,0,0,453
36,2,0,0,453
29,2,0,0,453
31,2,0,0,453
40,2,0,0,453
45,2,0,0,453
33,2,0,0,453
35,2,0,1,9
44,2,0,1,9
30,2,0,1,9
36,2,0,1,9
42,2,0,1,9
33,2,0,1,9
39,2,0,1,9
43,2,0,1,9
45,2,0,1,9
47,2,0,0,453
47,2,0,1,9
31,2,0,1,9
38,2,0,1,9
46,2,0,1,9
32,2,0,1,9
29,2,0,1,9
48,2,0,1,9
34,2,0,1,9
41,2,0,1,9
37,2,0,1,9
28,2,0,1,9
40,2,0,1,9
26,2,0,1,9
36,1,0,2,41
35,1,0,2,41
30,1,0,1,9
30,1,0,2,41
40,1,0,2,41
46,1,0,2,41
28,1,0,1,9
28,1,0,2,41
42,1,0,2,41
41,1,0,0,508
50,1,0,0,508
53,1,0,0,508
36,1,0,0,508
59,1,0,0,508
51,1,0,0,508
51,1,0,1,8
43,1,0,0,508
45,1,0,0,508
55,1,0,0,508
58,1,0,0,508
23,0,0,0,497
47,0,0,0,497
43,0,0,0,497
